=== 3) grid (SimpleBot) ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
Сетка стратегий: 5×5 = 25 ячеек, по 5 партий на ячейку.
Ход занимает часы без вмешательства — ниже периодический heartbeat, не полный лог.

[00:00:00] ячейка 1/25 (leverage=0.00, profile=0.00) — партия 1/5
[00:00:00] ячейка 1/25 (leverage=0.00, profile=0.00) — партия 5/5
[00:00:00] ячейка 2/25 (leverage=0.00, profile=0.25) — партия 1/5
[00:00:00] ячейка 2/25 (leverage=0.00, profile=0.25) — партия 5/5
[00:00:00] ячейка 3/25 (leverage=0.00, profile=0.50) — партия 1/5
[00:00:00] ячейка 3/25 (leverage=0.00, profile=0.50) — партия 5/5
[00:00:00] ячейка 4/25 (leverage=0.00, profile=0.75) — партия 1/5
[00:00:00] ячейка 4/25 (leverage=0.00, profile=0.75) — партия 5/5
[00:00:00] ячейка 5/25 (leverage=0.00, profile=1.00) — партия 1/5
[00:00:00] ячейка 5/25 (leverage=0.00, profile=1.00) — партия 5/5
[00:00:00] ячейка 6/25 (leverage=0.25, profile=0.00) — партия 1/5
[00:00:00] ячейка 6/25 (leverage=0.25, profile=0.00) — партия 5/5
[00:00:00] ячейка 7/25 (leverage=0.25, profile=0.25) — партия 1/5
[00:00:00] ячейка 7/25 (leverage=0.25, profile=0.25) — партия 5/5
[00:00:00] ячейка 8/25 (leverage=0.25, profile=0.50) — партия 1/5
[00:00:00] ячейка 8/25 (leverage=0.25, profile=0.50) — партия 5/5
[00:00:00] ячейка 9/25 (leverage=0.25, profile=0.75) — партия 1/5
[00:00:00] ячейка 9/25 (leverage=0.25, profile=0.75) — партия 5/5
[00:00:00] ячейка 10/25 (leverage=0.25, profile=1.00) — партия 1/5
[00:00:00] ячейка 10/25 (leverage=0.25, profile=1.00) — партия 5/5
[00:00:00] ячейка 11/25 (leverage=0.50, profile=0.00) — партия 1/5
[00:00:00] ячейка 11/25 (leverage=0.50, profile=0.00) — партия 5/5
[00:00:00] ячейка 12/25 (leverage=0.50, profile=0.25) — партия 1/5
[00:00:00] ячейка 12/25 (leverage=0.50, profile=0.25) — партия 5/5
[00:00:00] ячейка 13/25 (leverage=0.50, profile=0.50) — партия 1/5
[00:00:00] ячейка 13/25 (leverage=0.50, profile=0.50) — партия 5/5
[00:00:00] ячейка 14/25 (leverage=0.50, profile=0.75) — партия 1/5
[00:00:00] ячейка 14/25 (leverage=0.50, profile=0.75) — партия 5/5
[00:00:00] ячейка 15/25 (leverage=0.50, profile=1.00) — партия 1/5
